,squareid,datetime,countryCode,smsin,smsout,callin,callout,internet
0,5316,2013-11-01 00:00:00,0,0.3342856213738496,,,,
1,5316,2013-11-01 00:00:00,1,,,,0.1919988456877683,
2,5316,2013-11-01 00:00:00,39,6.839571255924224,9.024791990494892,1.126034451273496,0.1652201676995709,79.43897391753862
3,5316,2013-11-01 00:00:00,44,,,,0.6375006866011416,
4,5316,2013-11-01 00:10:00,0,0.1410537596671527,,,,
5,5316,2013-11-01 00:10:00,39,5.956728251806039,6.300029504908743,0.0988943808775293,3.3642682196024616,105.3924496976895
6,5316,2013-11-01 00:10:00,43,,,,,0.0156849351687966
7,5316,2013-11-01 00:20:00,0,0.3059035548453135,,,,
8,5316,2013-11-01 00:20:00,31,,0.0014412511923517,,,
9,5316,2013-11-01 00:20:00,39,12.45951996088262,18.78381038857169,1.7148826211432415,0.3258963372649642,72.97776183987229
10,5316,2013-11-01 00:20:00,49,,,,,1.6635040620597965
11,5316,2013-11-01 00:30:00,0,1.6635040620597965,,,,
12,5316,2013-11-01 00:30:00,1,,,,,0.7092804251166294
13,5316,2013-11-01 00:30:00,39,6.217505470615971,8.013125481635438,0.1107340300716183,,83.24203881223761
14,5316,2013-11-01 00:30:00,43,,,,,0.1410537596671527
15,5316,2013-11-01 00:30:00,46,,,,,0.1410537596671527
16,5316,2013-11-01 00:40:00,0,0.7624252453198898,,,,
17,5316,2013-11-01 00:40:00,39,1.920447834597456,2.845318900083593,0.189752589773239,1.8555029077475649,79.96523728640292
18,5316,2013-11-01 00:50:00,0,0.760983994127538,,,,
19,5316,2013-11-01 00:50:00,39,6.15085528007583,9.015752574105855,1.8323391055819689,0.3854389425678884,60.00438679935475
20,5316,2013-11-01 01:00:00,0,1.6635040620597965,,,,
21,5316,2013-11-01 01:00:00,39,6.83060041073354,4.945923014036629,1.9445734047354752,3.385185765853528,53.65104795177816
22,5316,2013-11-01 01:00:00,43,,,,,0.0156849351687966
23,5316,2013-11-01 01:00:00,46,,,,,0.1410537596671527
